id_livre,id_auteur
630104,74489
9487,706255
6050894,5618190
39030,37871
998,36122
311164,58947
32105,4833990
377993,7956
71292,155651
821003,274533
24876258,38550
80631,4773763
81048,27847
7640261,153394
22028,3487
176892,5619151
138811,4476044
15990489,7851984
15743075,5771850
16116760,4968409
13549445,1427650
550844,1217905
18523711,4428962
17234659,3462951
25906415,5029054
165782,7832543
23346719,2746690
274400,7737308
1977834,1912055
228345,3185029
7831145,6608731
58893,6576876
153783,7132113
870461,5822433
286136,7123498
6419887,6425833
228244,7255282
3004139,3173295
93729,6886704
71869,151973
900682,359194
7519640,5821204
124923,4541791
2214574,6519692
4842437,7094294
7163862,6862646
8662135,5621569
97860,3152411
10587120,4109302
79484,5828499
26936,1366040
1438096,7302303
91760,7125719
621687,8073851
199635,5893561
39097,8253345
25975141,5819370
1783289,8119001
5498077,7354860
7704979,3456705
24764,268722
239065,4318269
475965,5209619
7129468,4615197
1891296,2980235
294042,7020231
6556261,5155341
8685644,6445292
15549,5050492
10414941,6590573
10065348,3080608
11242368,985261
19286623,4595087
100629,6421828
28978,5073330
7943678,6451816
167302,1122775
311308,445303
16356,20560
82553,10896
16130758,205
13425352,1226977
922119,41749
5350,2778055
294285,12534
22852698,53501
457762,3400721
618924,3389
13151,4764
402,4432
104216,545
244475,2973783
7893,6474348
878307,5858
12447,1630
85993,12476
226425,5244478
3942622,21477
47241,14078
339026,2786093
37451,21475
11273356,36332
13075513,3063220
146106,835348
140278,29535
137098,31688
2206960,874602
112075,5223
50725,4018722
6503152,8360
264587,432
1933181,17452454
13806,9226
12700306,6025722
17558817,1285555
6572,43298
13570639,2987125
45234,1318
6420,32595
13012638,4684322
6519314,880695
10222362,3064305
16707,5791
125432,3472
313605,4280
25242224,200317
8296,941441
7958,15873
93794,1077326
943903,2001717
545875,2384
6064646,3780
149621,21911
11750412,1265
102661,7128
15815333,10465
11237412,1315
127028,3058
177523,305400
13605496,2327917
17735,4379
25892878,4
22693811,5246
696703,2894
79090,175855
153193,8349
826583,4178
266599,12696
10329483,2331
511528,656983
2917367,630
782898,17015
117904,137902
3064278,27837
13438524,3447
15710495,9987
137972,169377
15814479,6876
111831,13957
836610,28569
1783281,71688
597040,48192
5137,4575371
901111,41313
45169,3090
143691,1647762
18669536,699143
41958,2613
862108,20248
1033346,499602
2102300,2958084
16315,4872191
9526,4586597
13325079,3379564
5055,19005
1946,6160
6340016,17065
32430,4637539
1988040,6251
107792,151371
60483,4951964
126507,9885
10816297,1304470
15817326,22159
26031279,4907787
23492741,47499
4447991,614
24963,5430144
1724365,5193034
7346,2345
10822,2876763
6359133,11081
2841694,4562483
175828,4826501
44236,19823
2073686,4725841
670686,2895707
762053,5448974
10000,5070015
155206,4559822
22756190,1164465
613218,6466369
649361,5288442
74043,1192311
2305862,767547
12764,3027554
16182,3041100
640029,4629194
8350864,2895706
21863558,5351825
21400356,4718528
11746102,4336590
15790833,4737213
2535732,3267859
961831,3251728
4806,3023658
7058405,5441417
34524,5027236
24156,4692856
458313,805184
216196,2261547
6280379,10317
7857713,5073459
10174795,4606082
1878,4086715
609870,25422
143728,5360335
50695,504038
17570751,11654
73051,4476934
12882349,4774653
47061,4581947
16115,3377941
129223,4074051
233904,5108399
3157877,5265998
22193,415967
32957,3099544
627055,4342215
41951,2891665
563457,3220024
628283,6914204
73954,2987
2062048,2755160
238126,4279785
12389310,164576
252999,4116488
51933,5186274
13365532,767317
16114,295178
146109,56224
1034185,150038
20345202,4384465
110396,3353516
32940867,4575289
534289,7581
16111,3433047
