id_livre,id_auteur
71292,1041311
176892,4766
18523711,3190846
228244,133522
7519640,16494
7163862,426034
8662135,1628012
97860,16461
10587120,27281
199635,72932
11242368,3180076
19286623,6476625
311308,18067
22852698,4721536
457762,26874
618924,22528
12447,7921
47241,26546
339026,3155347
137098,61565
50725,11624
1933181,6583
13570639,2937053
45234,25372
10222362,4581947
313605,2838
93794,29085
15815333,113936
127028,73021
17735,10765
782898,7294
117904,924207
15814479,6464656
5137,3488
18669536,7087549
9526,6238
13325079,7079
6340016,8865
32430,6926240
126507,12470
649361,86883
2305862,1036925
640029,33502
8350864,119755
4806,3277
216196,66240
10174795,504627
143728,23894
50695,463
129223,74248
3157877,93220
628283,267618
1034185,4731222
20345202,7105753
110396,63898
129117,74189
68333,21158
18249280,85545
104344,20560
24384,13705
38225791,15127507
366787,74876
71622,40507
7312324,153734
10897866,4666971
1022209,138702
2592122,10087
6687247,3012335
10048874,3353667
179174,2802356
17204860,6875794
133380,33998
188454,3314
9554790,91168
6100797,226816
762563,48450
138683,80212
2420340,1079136
17305783,3432558
74862,42464
256280,1417512
6514074,66216
8241088,4020319
4333469,1818261
7284118,3212288
263919,154108
15706108,6371051
16029550,5784961
17339738,6925118
17190226,6872165
18136883,7152850
29661618,7176787
166562,96899
18620524,7314133
1414,947
22436841,8296035
25022297,13544498
232467,30510
36390016,15418106
3359011,1418272
24816,13778
7532858,1284067
192954,112402
10169662,3163298
209889,40882
12878300,2865
23016364,6422281
12617286,5204084
747061,1367163
13260545,428662
22725294,7132747
1335601,38840
18456078,7249070
31815310,14106658
12970162,15890
13573419,25375
50781,11859
192955,137261
5820384,2746690
11903141,4846190
8161632,51118
10863979,4727364
27297,15321
3426706,1219600
15734418,6434818
8922087,588558
2498049,1108381
12180248,173493
4303567,1808111
17281601,6519108
11164732,4094048
20518655,7341481
984021,161893
21915986,7324934
20492283,6879912
17913288,6879912
23517137,8551973
27263454,13531492
30841984,15388346
6732019,60619
815234,3368
605663,328504
615359,333002
11106249,3023973
131304,10894
10710392,80769
7779571,34031
3173125,1351359
9219901,3405767
15766776,6448210
18667307,7340907
18811324,7392660
13623874,289426
22841551,8301288
28091259,14735317
17657206,7008445
23266378,8596769
15790894,6572837
807044,90077
22469,12803
271487,158276
205821,5325
975885,52468
16114675,6566802
96908,55743
158479,9790201
71111,40202
22751611,8381790
21801701,5778736
20483084,5348132
13410943,6653763
29776603,7305355
13505635,339420
34091026,16369688
432020,243395
109326,63242
28660,8591
3250465,1379078
541920,38662
112080,8361
21420189,4192988
105999,403
2781819,105839
6273,4242
384579,33297
15724908,6150699
12578294,3027554
16122643,4930653
18858489,7193037
18105451,3486415
18188319,2633785
13608133,5819903
6276276,171079
44323,9072
21853636,1487748
20649195,6470568
23299513,4864634
23533039,3365457
24382227,7360516
25810500,80808
31952703,1348627
102142,9558
6578507,179578
647579,120835
104069,60172
10801027,4503081
7031834,21911
13448374,5101366
5148758,3489
6987527,4917483
13222508,240484
36613718,17337861
17140887,279593
13059477,4927506
31202835,14472017
34324484,15100007
25903764,21618
65399,36935
6076107,2761
9722219,46976
179734,90070
449,296961
300674,173264
3241366,1375697
283489,164714
291583,56977
17181677,6517376
42435,23876
18388177,14250273
12578370,3027554
23353850,8381790
23494599,9831660
20890479,5309857
25816447,5335601
18102827,7141792
20640467,6421828
17679368,3408059
20926065,5821204
1542100,718346
11979900,2983974
23492533,6994731
647492,99126
89231,51229
30223025,5833089
34433755,7034280
12540,7113
1847329,843234
6855506,112719
526869,21004
23230,13139
13664,874602
13324895,5413978
577184,202355
13062488,5333630
140099,81017
10822395,4668167
16160701,3167424
27259009,11327592
18509683,5344531
18392459,2126339
30095464,7055613
905092,659
25852870,6429
3060904,626568
958277,769
613268,332067
97408,55943
207802,121585
263731,64216
9327053,150702
13060609,38531
10088219,4534486
15808474,60177
25067570,7942666
715995,6454067
23012877,5737121
20702025,5282455
9783200,1038226
33643994,14358948
25756328,14115788
315511,7735
35434,3231
15803037,6903512
60200,2885224
40271,589
523795,90990
13278242,4388953
824204,43186
793298,101078
133547,77023
6681523,509706
6796044,2957043
12648447,5213951
17832472,6420295
476733,26115
858719,73337
17670941,7013486
476909,137561
11256293,2872571
12260585,81017
12392681,33918
18808407,7422779
157551,91148
15843286,484627
25573977,7205478
18710209,7359318
26154406,74189
30969741,15455603
36595101,188983
27411345,5898355
6788533,988402
8752457,4019884
28815371,10802967
353342,10105
7544649,151973
10669,762
11010251,57239
14686,9172
12830117,5021072
13540215,5774116
2182780,37450
18171248,6953498
13436384,27372
7238737,3203095
116925,5615767
17902141,4499623
1212868,588448
6729300,538003
18829666,7105371
31283058,5752457
20613624,4719213
22429350,6553850
35297394,15941035
31862,36556
348632,200033
833060,203311
462658,5244478
268437,43734
313631,4314
25843420,3087199
6556855,588558
12759057,13557729
6334523,93726
7940589,107079
13449677,3251728
10479750,4651111
91487,5672
15740944,4573983
5055737,5514598
95431,14965
1061557,1244538
203899,23924
12649,7994
297929,8695
770614,10087
5598819,1254282
10327294,4608985
179166,33503
16982,7338
178493,99961
62805,35258
10950666,4887264
177395,103302
6760780,321303
1238684,27372
256003,149625
15789443,6456912
195144,113780
323172,4448408
13542990,202782
13083008,10289
400812,91102
36047860,396165
24612118,690619
363499,9241
36162,1276004
492069,128570
15734163,5828179
430968,217419
539904,48305
112525,65135
772716,33987
13056868,99117
10535458,4662744
22692740,8377979
10837174,4493935
41014989,10917
6764886,4260
2696181,1182751
30625170,15365638
36071,1538
28512486,6947727
785092,8656
42505366,17203508
6290240,42110
766955,3162
25148,14139
1829655,836009
73574,41661
6589111,363405
8838886,4178161
282356,164153
845150,306449
1162185,485981
13246736,4086715
16101121,3472732
48019,12008
13413589,40563
22494969,8312760
190999,23012
96123,15445
77398,702
14096,8750
60411,5363
19809,11789
316558,182089
33553,8726
17789633,6468237
157387,91085
15812779,81017
15726915,6431805
3851380,1441
200544,49103
17235448,6887772
20980987,1010543
24985,14032
33297,18708
2017056,3509
11297376,4607856
9728761,4171164
874419,24846
6506483,2945688
45000,25254
10564983,4668167
14295,8885
16234269,830098
12651,7994
35292712,5804792
5711714,1079136
6698199,2868833
306608,15091
7311907,1641
13513092,234724
169354,19563
780889,147436
13091829,3387293
16029994,4785031
135486,18163
8573642,4116488
13414835,5446913
6668592,6218
78127,44306
6314763,2867696
13409664,5444060
23129923,1914334
23209924,1226977
13455534,27498
21251323,5992469
27834600,9013543
25893709,97313
191113,33274
6782412,1122774
6149219,103359
8853482,4191700
201111,117297
10814693,119696
13122090,5355122
13112023,2875124
9403947,4382157
74821,42437
28664920,2894415
9471031,4230687
14069,8730
387348,7305
22227607,6572969
12700337,3353516
18190208,7170939
17448097,580315
537124,19475
252502,18930
565595,60478
95144,4489
75479,598299
12408149,5018174
61463,34589
646195,23157
6398385,2898479
26348,6366
426775,3490
17934647,7095091
99738,16628
26114291,2868678
24529123,6439440
8765,5691
35380157,16974988
3686,7136914
529126,97228
8369681,2983974
1270615,18015
11337189,1410
13549869,3409997
13345975,5421050
13518793,3200938
17671114,6217503
7737900,3377501
18505832,19696
15777279,5833418
17349153,5407300
38600870,6887119
584637,57651
8597275,4773417
1020102,111002
49838,27341
12872080,6162355
216213,52050
12819342,5259422
13557662,4115682
656836,92650
15833525,4500872
9741685,1025280
15749143,7742
692935,34160
17574849,971054
25876993,14155920
42694,19708
2615008,389474
75703,43028
692969,67276
195806,18015
830364,3047
27298,15322
7242100,1827868
5709572,103359
74928,17272
406425,27641
6572270,243930
126005,72467
26109391,4113638
2905807,2863794
30312700,4485813
582533,41093
734191,389599
99461,8516
3295696,1395810
10025007,1428675
20701984,184459
10335701,4611175
150236,86808
16762211,6431156
8101452,194256
49176,112258
8192391,2613
6320247,2869923
19138879,5365396
28698224,8424949
25733983,14104736
2586771,49229
267869,156327
6389874,2895111
52362,15085
954303,165682
8789318,58846
9712341,3212742
10105459,13022
17149088,4629194
16071748,4414255
36621586,13922215
144758,39788
202292,93012
105687,51918
242201,821970
7092507,2274221
887201,9345
3134981,17029
11205804,4787929
10637697,3390621
7823600,3342174
6146985,33653
9622286,221556
9553614,4418815
16101018,6561846
20871425,6563368
22237681,8118655
342994,6378
20561916,7771337
825377,198837
228990,12980
13409405,24009
10337453,144788
16599,10116
13584400,5437976
1479967,692656
7433963,1504898
200362,116858
6375845,32594
28477789,6887119
15791085,5303332
828387,41814
770051,27861
56140,31726
12901365,5005267
7954894,3453827
40940157,26417
693016,27847
8041873,3484883
17331819,3097905
23601046,2918731
18464362,5214733
23909755,2916869
20404905,13557729
23346335,639491
19000898,4601681
27269638,7226675
1556093,2995925
35724645,7211470
7877549,800019
94062,53974
9642278,3342174
10640020,2812835
782854,73310
9867814,4445700
6641635,2830341
12114440,38066
25507388,6872506
22896551,7374721
35349,19956
7579,5269606
1132597,6519
1215920,6606656
10739664,4705142
6692041,5815562
894111,47406
25463009,9811081
773971,7927
13549375,5778695
122649,3565
103111,15091
164722,5816
17337522,6475976
6056520,1938234
357399,8564
13038833,31232
22020598,4632663
177076,39412
10464963,4464
21796,12521
335140,29574
15790886,4254441
17131869,24514
25587,14033
828140,227160
776489,22652
212615,2967123
2043100,928415
165395,23511
773858,7103
38330854,8555975
263146,153733
769255,64364
8144743,3519233
6682769,2232265
6323474,2871046
6218007,2830569
1158380,292578
514210,1501668
18068029,7246093
1058726,304026
768496,28345
4558004,61277
2316940,1441
13410938,4835954
16075615,5241601
13642663,3449712
27161156,15109469
154126,89095
845977,17297
41581171,5752457
32505753,15945524
39303,1356336
3559,16759765
36086,1563
38855,16541
9545064,22506
73188,14919141
296901,24514
12440865,5154295
8501304,3220024
3860977,428923
7998541,3044063
137110,438
80642,5662
9654,6085
2794955,2357
790319,268304
12394732,1378521
11793544,4946788
593151,19811
11512718,375143
6612005,2789878
17928184,6950740
16060716,2526
11699055,2889003
22067087,3213942
30649795,8394519
6081685,2776647
17209607,1029223
15748529,2860219
925,603
112136,64845
6048518,852078
5186,3525
9539767,3519233
467164,7906
198505,9996
31450752,15218531
89195,51204
18419,11095
227570,209
420849,237385
14743784,5073459
38333,21574
17602565,6444714
14290023,19954
37347,20989
17660704,6421828
22501028,457
14781171,5260599
26521332,818808
69094,38932
146064,23056
161361,46097
13099652,5347052
16718816,5436815
12844699,172490
56454,6547946
57736,32549
52762,29805
116343,15590
46917,6878
7171882,27206
12814088,179712
27864391,49229
18077836,168647
1016875,30716
46064,7190
32337167,7087549
852885,2995242
420733,16961
8727466,712666
7719248,548551
294963,18100
13496831,5347052
1678741,2614
15835020,3114906
478071,127216
11595072,54201
400763,838305
6713071,22782
13019704,1051591
1206073,5062
15799166,6459302
17185556,6568302
65959,37202
23705512,3440476
908311,52310
8089,5339
10637959,122302
579228,13589
383196,7054610
20439328,68992
1098486,542704
6657,3159984
271295,158170
978098,83003
131847,3622
413432,128668
383129,171139
5024334,317354
217008,127176
15704459,38550
111879,64716
5600151,1932450
387339,20560
73965,41895
18635086,903992
13843,8597
8697204,186987
7656231,164576
7247854,3206446
985386,4958172
9876989,4107314
3437328,25375
16119079,6568302
21936988,8152069
207798,121579
69139,38954
2074153,803796
278280,25376
24081930,4399719
334818,191976
25056040,2759153
64105,15590
618164,7531
3302568,1161372
81992,8794
487445,12465
388698,221019
20564828,1080585
13501633,2860219
23252517,5829056
89821,51563
277897,131208
288159,167047
126512,72703
51364,643
8449698,86778
48176,26978
350678,19971
44230,24844
13356190,45687
400598,49187
13069681,4086928
17569860,6872165
6811150,2759153
13922,8649
769712,32468
141452,15590
18039963,6572575
891813,29542
129613,9885
129308,57461
1013383,103243
133906,36910
3291,2238
6186355,613805
556629,1250965
17380041,965819
17793815,7046321
11725779,92650
7963189,3456441
142292,82111
134017,77318
16451,10020
238460,119933
112286,6225
2274683,1025280
9314304,92650
7352053,3242814
93453,22782
760961,27276
70101,7617
263176,153741
12334,7814
7968243,5741
3100092,20524
16304482,6655354
49251,5882
13494365,4629194
1160780,148613
963679,38658
18163646,6094847
23399192,190578
672493,1082290
179579,2413
70287,39621
6691280,57198
218677,19317
1948904,145946
57778,28380
15746882,15292
88612,1392861
2771105,92650
10331607,4610078
70582,22548
598117,117775
18114142,60390
2798263,104514
7716140,3369676
9440448,4610
12902757,499602
206796,120948
9433912,287923
148809,4432
12530,5209
51877,5001
10055,6565
10808013,33031
9306975,2917423
49488,27874
196549,114528
2219694,348878
11500552,1026961
1134122,8435
11147422,3041100
857528,37836
13330603,3509
1474628,690619
8299165,249843
