,birthplace
0,United States
1,Sweden
3,Chile
8,Canada
14,United Kingdom
32,Belgium
46,Cuba
53,Australia
66,New Zealand
78,Colorado
79,Ireland
86,France
107,Austria-Hungary
110,Russian Federation
114,Portugal
118,Japan
127,Germany
133,England
149,South Africa
155,Kenya
160,Fiji
165,Chicago
171,Alabama
224,Seoul
235,Southern California
238,China
251,Iran
254,Israel
259,New York
261,Brazil
286,New Jersey
305,KY
334,Mexico
389,Kazakhstan
434,Zimbabwe
443,TX
468,Guyana
486,Afghanistan
525,Spain
581,India
661,Peru
667,Indonesia
670,Serbia
675,Colombia
681,Poland
692,Dominican Republic
698,Argentina
700,Ukraine
750,Greece
765,Nigeria
774,Algeria
790,Romania
810,Georgia
814,Italy
856,Austria
865,Ethiopia
877,Netherlands
894,Scotland
901,Hungary
904,Sri Lanka
906,French Republic
913,Russian Empire
952,Czech Republic
959,Occupied
1000,NH
1106,Missouri
1128,Pennsylvania
1147,Sierra Leone
1155,Switzerland
1226,Denmark
1267,Kingdom of France
1295,Malawi
1363,Massachusetts
1446,Boston
1451,Jamaica
1461,Hawaii
1525,Kentucky
1543,Pakistan
1570,Norway
1573,Michigan
1583,Turkey
1743,Finland
1772,Zambia
1779,Minnesota
1796,Philippines
1809,Maryland
1834,PA
1867,Springfield
1868,Morocco
1923,Minneapolis
2015,Lebanon
2087,Salt Lake City
2097,Malaysia
2218,Egypt
2223,Saudi Arabia
2232,Syrian Arab Republic
2241,Iraq
2245,Kuwait
2247,Jordan
2249,Tunisia
2253,Sudan
2281,USSR
2302,Saint Kitts and Nevis
2347,New York City
2359,Montenegro
2384,Birmingham
2421,Baltimore
2434,Republic of
2474,Cambodia
2497,Illinois
2503,Somalia
2541,Rocky Mount
2618,Ohio
2637,Philadelphia
2793,Uganda
3098,Dominica
3224,Slovakia
3327,London
3421,OH
3530,British Indian Ocean Territory
3551,Bangladesh
3562,Trinidad and Tobago
3570,British India
3571,now Pakistan
3727,Gibraltar
3924,Indianapolis
4174,Cleveland
4213,Taiwan
4431,Puerto Rico
4454,MI
4592,Hong Kong
4660,United Arab Emirates
4735,KS
4740,Buckinghamshire
4809,Uruguay
4811,Bosnia and Herzegovina
4994,Minot
5176,Grenada
5439,Tibet
5451,Cape Town
5457,Winnipeg
5495,Identity of author to remamystery for now
5592,AZ
5599,Yemen
5782,NY
6047,VA
6055,Dallas
6152,Singapore
6179,Indiana
6808,MN
6958,North Carolina
6960,South of France
7842,Barbados
7980,Viet Nam
7982,Antarctica
8032,Croatia
8095,Los Angeles
8221,Iceland
8409,"I've continued ""worlding"" to many countries."
8420,Belarus
8908,ndia
8949,San Francisco
9160,Cameroon
9205,Haiti
9347,currently living Canada
9432,IL
9489,NYC
9506,New Orleans
9844,Wichita Falls
9962,DC
10028,AL
10073,Kyrgyzstan
10209,Cyprus
10270,North Wales
10434,Somewhere snowy MN
10521,South Dakota
11066,Martinique
11546,Europe
12653,Brooklyn
12780,Thailand
12847,Bhutan
12926,Bermuda
12933,Panama
13572,California
14294,a phoenix egg
14364,MB  Canada
14389,Rhode Island
14690,French Polynesia
14911,CT
15030,CA
15183,Congo
15277,Latvia
15579,Guatemala
16170,MA
16433,Czechoslovakia
16961,Jerusalem
17082,D.C.
17336,Venezuela
17371,Ecuador
17679,Ft. Lauderdale
17744,WI
18085,http://nikkiloftin.com/
18279,Westminister CA
18300,Aruba
18589,Saint Lucia
18864,N.Y.
19246,American Samoa
19638,Northern Ireland
19729,Bulgaria
19898,Virginia
19994,Florida
20032,Lithuania
20103,Alaska
20205,Melbourne
20265,Vancouver
20314,Gary IndiANa
20465,Ghana
20647,British
20713,Holy See (vatican City State)
21069,Guernsey
21115,Senegal
21560,Lancashire
21656,Mozambique
21811,Rwanda
21834,Albania
22004,Malta
22188,Manhattan
22309,Wales
22347,Delaware
22442,Seattle
22807,Slovenia
22834,the Former Yugoslav Republic of
