id_critere,critere
1,genre
2,auteur
3,pages du livre
4,4eme de couverture
5,conseil personnel
6,couverture du livre
7,recompenses livre
8,chapitres
9,feeling
10,description
11,protagoniste
12,date de publication
13,recommandations proches
14,l'histoire d'apres le synopsis
17,couverture
18,titre
19,coup de coeur
20,sujet
22,recit
23,roman
24,theme
26,resume
28,4eme page
30,editeurs
31,legerete ecriture
33,dialogues
34,bouche a oreille
35,avis lecteurs
36,bibliothecaires
37,libraires
38,fiction histoire
41,sujet aborde
45,conseils de proches
46,le libraire 
50,la promotion a la tv ou radio
52,recommande
