id_decouverte_livre,decouverte_livre
1,bouche a oreille
2,au pif
3,reseaux sociaux
4,recommandations en ligne
5,librairies
6,au hasard je me balade dans des bibliotheques et de temps en temps je prend un livre au hasard
7,conferences
8,recu en cadeau
9,recherche google
10,salons
11,kisskissbankbank
12,emissions litteraires
13,emission litteraire radio/tv
14,recherches internet
15,on s'echange et on se conseille pas mal de bouquins avec mes soeurs
16,medias ou hasard
17,mediatheque
18,je regarde ce qu'il y a en rayon
19,en lisant la couverture arriere
20,radio
21,presse specialisee
22,fidelite a un auteur
23,france culture
24,non concernee
25,en parcourant le rayon livres
26,la grande librairie tv
27,bibliotheque
28,en lisant les resumes
29,la grande librairie
30,participation a des juries litteraires
31,bibliotheques
32,podcast
33,cdi
34,livres pretes
35,sites comme babelio
36,booknode
37,hasard
38,emissions radio
39,tv
40,publicite (magazines
41,tele
42,amis
43,telerama
44,tv/radio
45,flaner dans librairie
46,je papillone dans les bibliotheques sans chercher qq chose defini au depart
