id_user,id_decouverte_livre
1,1
2,2
3,3
3,4
4,1
4,3
5,1
5,5
6,1
6,5
7,1
7,3
7,4
8,1
8,3
8,5
9,1
9,3
9,4
10,4
10,5
11,1
12,1
12,4
12,5
13,1
14,1
14,3
14,5
15,1
15,4
16,5
16,6
17,1
17,3
17,5
18,1
18,3
19,1
19,3
20,1
20,3
20,4
21,3
22,1
22,3
23,1
23,3
23,7
24,5
25,4
26,3
26,4
26,5
27,3
28,1
29,4
30,5
30,7
30,8
31,1
31,3
31,4
32,1
32,5
33,1
33,3
33,4
34,4
34,9
35,3
35,7
36,5
36,10
37,1
37,3
37,4
37,5
37,7
37,11
38,1
39,3
39,5
40,3
41,5
42,1
42,3
42,4
42,5
43,4
44,1
44,3
44,4
44,5
44,7
45,1
45,3
45,4
46,3
46,4
46,5
47,1
47,5
48,4
49,1
49,3
49,5
50,1
50,3
50,4
51,1
51,3
51,5
53,1
53,3
53,4
53,5
54,1
54,3
55,1
55,3
56,4
56,5
57,1
57,5
58,1
59,1
59,5
60,1
60,3
61,1
61,3
61,4
62,3
62,4
62,5
63,1
64,5
64,12
65,1
65,3
65,4
65,7
66,3
66,7
67,3
67,4
68,1
68,3
69,3
69,4
69,5
70,3
71,1
71,5
72,3
72,5
73,1
73,3
73,4
74,3
75,1
75,5
76,1
76,4
76,5
76,7
77,1
77,3
77,4
77,5
77,7
78,3
78,5
79,1
79,3
79,4
80,13
81,14
82,1
83,1
83,4
83,5
84,1
84,4
84,5
85,4
86,4
87,1
88,1
89,1
90,5
91,1
91,3
91,4
92,5
92,15
93,1
93,5
94,1
94,3
94,5
95,16
96,3
97,1
97,17
98,3
98,18
99,3
100,1
100,3
100,4
100,5
101,5
102,1
102,19
103,1
103,5
104,4
104,20
105,1
105,3
105,5
106,1
106,3
106,4
106,5
107,5
108,1
108,4
108,5
109,1
109,21
109,22
110,1
110,5
110,23
111,3
112,3
113,1
113,3
113,4
113,5
114,3
114,4
114,5
115,1
115,3
115,4
116,24
117,1
117,3
117,4
117,5
118,25
119,1
120,1
120,3
120,5
121,1
121,3
121,5
121,26
122,3
123,1
123,3
123,4
124,1
124,5
125,3
126,3
126,5
127,1
127,4
127,5
128,1
128,5
129,1
129,3
129,4
130,1
130,3
130,5
131,1
131,3
131,5
132,1
132,3
132,5
132,27
132,28
133,1
133,3
133,5
134,1
134,3
135,1
135,3
135,5
136,1
136,3
136,4
137,1
137,3
138,5
139,1
139,3
139,4
139,29
139,30
140,1
140,3
140,4
140,5
141,1
142,1
142,3
142,4
143,1
143,3
143,4
143,5
144,1
145,1
145,3
145,4
145,5
146,1
146,3
146,4
146,5
147,3
147,5
148,1
148,3
148,4
148,5
150,1
151,1
151,3
151,5
152,3
152,4
153,5
154,3
154,5
155,1
155,4
155,5
156,1
156,3
156,4
156,5
157,1
157,3
157,5
158,1
158,5
159,1
159,5
159,27
161,1
162,1
162,4
162,5
163,1
163,3
164,1
164,5
165,5
166,1
166,3
166,5
167,1
167,3
167,5
168,1
168,3
168,4
168,5
169,3
169,5
170,1
170,3
170,5
171,1
171,3
172,1
172,3
172,5
174,1
174,3
174,5
174,31
175,1
175,3
175,5
176,3
177,1
177,3
177,5
178,1
178,3
179,3
179,4
179,5
180,1
180,3
180,4
180,5
180,7
181,3
181,5
182,1
182,3
182,5
183,1
183,3
183,5
184,20
184,32
185,3
185,4
186,4
186,5
187,1
187,33
188,1
188,3
188,5
189,4
190,1
190,3
190,4
190,5
191,1
191,3
191,4
191,5
192,3
193,1
193,5
193,34
194,1
194,3
194,4
194,5
194,35
194,36
195,1
195,4
196,1
196,4
197,1
197,3
197,4
197,5
198,37
199,1
199,3
199,4
199,5
199,31
200,1
200,5
200,7
201,4
202,1
202,5
203,1
203,3
203,4
203,5
204,1
204,5
205,1
205,3
205,5
205,7
205,38
205,39
206,1
206,3
206,4
207,1
207,3
207,4
208,1
208,3
209,1
210,3
210,4
210,5
210,7
211,1
212,1
212,5
213,3
213,4
214,1
214,3
214,40
214,41
215,3
215,5
216,1
216,3
216,5
218,1
219,1
219,5
220,1
220,5
221,1
221,4
222,1
222,5
223,3
223,5
224,5
225,1
225,3
225,5
226,4
226,5
227,4
227,5
228,4
228,5
228,42
229,1
230,1
230,3
230,5
231,1
231,3
231,5
232,1
232,4
232,5
233,4
233,5
234,1
235,1
235,5
236,1
236,3
236,4
236,5
237,1
237,3
237,4
237,5
237,7
238,3
238,5
239,1
239,5
241,1
241,5
242,1
242,4
243,1
243,5
244,5
245,3
246,1
246,3
246,5
247,1
247,4
247,43
247,12
247,20
247,41
248,1
248,3
249,1
249,4
249,44
250,5
250,20
251,45
252,1
252,5
253,1
253,4
253,5
254,3
254,5
255,4
256,5
257,1
257,7
257,46
258,1
