id_lieu,lieu
1,dans les transports en commun
2,a la pause dejeuner
3,en cours
4,dans le lit
5,dans le salon
6,a la bibliotheque
7,dans un parc
8,en marchant
9,sur la plage
10,partout
11,sur mon bureau
12,au bureau
14,dans la nature
15,a la plage
16,vacances transat
17,l'ete dehors dans le jardins
18,au bord de l'eau et dans mon jardin
19,la plage
20,dans le jardin
21,au bord de la piscine
22,plage piscine
23,partout
26,en cuisinant
27,dans salle d'attente
28,en attendant
29,salles d'attente
34,plage
37,dans le salon
38,travail
39,dans les salles d'attente
41,en salle d attente
42,vacances
43,dans mon bureau
44,devant un feu de cheminee
45,dans le jardin
46,vacance
47,dans mon jardin
48,dans mon fauteuil
