id_user,age,id_secteur,id_vitesse_lecture,id_selection,id_genre_sex,id_prefere_lire
1,20,0,1,1,1,1
2,20,1,2,2,1,2
3,20,1,3,3,1,2
4,20,1,2,1,1,2
5,20,1,1,2,1,2
6,20,1,2,4,0,2
7,21,1,1,2,1,2
8,20,1,2,4,0,2
9,20,1,1,2,1,2
10,20,2,4,4,1,2
11,20,3,5,1,1,1
12,20,1,2,2,1,2
13,22,4,3,1,1,2
14,20,1,1,2,1,2
15,20,5,2,4,0,2
16,20,0,5,3,1,2
17,24,1,4,4,0,2
18,20,6,5,2,1,2
19,19,7,4,4,0,1
20,19,1,1,4,0,1
21,20,8,4,4,0,2
22,20,9,1,1,1,2
23,20,1,2,2,1,2
24,19,1,1,2,0,2
25,19,1,5,1,1,1
26,20,1,1,1,1,2
27,19,10,2,1,1,3
28,29,3,5,2,0,2
29,40,1,2,1,0,3
30,23,0,4,4,1,2
31,19,1,2,1,1,2
32,20,1,4,1,1,2
33,20,4,2,2,0,2
34,21,1,4,4,1,2
35,20,11,5,1,1,2
36,20,6,5,2,1,2
37,23,1,5,2,1,2
38,20,12,2,1,1,2
39,20,1,2,4,0,2
40,19,13,4,2,0,2
41,20,0,5,1,1,3
42,17,14,4,4,0,1
43,20,6,5,3,1,3
44,20,4,2,2,0,2
45,20,14,2,4,1,2
46,19,1,3,1,1,1
47,20,1,4,2,1,2
48,20,15,3,3,1,1
49,18,16,4,4,0,2
50,20,17,4,4,0,2
51,19,18,1,2,0,1
52,1,0,3,5,0,0
53,20,5,4,2,1,2
54,20,14,3,1,0,1
55,33,19,1,2,0,1
56,23,1,3,1,1,2
57,18,14,4,4,0,1
58,20,4,1,3,1,2
59,20,6,1,1,1,2
60,24,14,1,1,0,1
61,23,6,5,2,0,2
62,23,20,2,4,1,1
63,20,21,5,1,0,3
64,52,16,1,4,0,2
65,25,16,5,1,1,2
66,19,22,5,1,0,1
67,20,1,2,4,1,2
68,20,6,2,3,1,2
69,20,3,4,4,0,2
70,20,4,1,4,0,2
71,20,1,4,4,1,2
72,28,14,1,2,0,2
73,22,1,1,2,1,2
74,50,13,1,2,0,2
75,40,14,1,2,0,2
76,43,13,4,4,0,2
77,64,23,4,4,1,2
78,38,22,4,4,0,2
79,53,16,2,4,0,2
80,55,6,1,4,0,2
81,50,24,2,4,1,2
82,76,23,1,3,0,2
83,54,2,5,2,0,1
84,34,14,2,4,0,1
85,39,7,2,2,1,2
86,39,7,2,2,1,2
87,38,25,5,1,0,2
88,46,0,4,4,0,2
89,37,7,1,1,0,2
90,52,26,1,1,1,2
91,29,14,5,1,0,3
92,42,14,4,4,0,2
93,42,2,1,4,0,2
94,55,7,1,4,0,2
95,53,27,1,4,0,2
96,51,13,1,1,0,1
97,57,28,1,4,1,2
98,40,1,5,4,0,2
99,31,29,5,1,0,2
100,39,14,4,4,0,2
101,40,7,5,1,0,2
102,50,30,2,4,0,2
103,51,16,5,2,0,2
104,50,7,2,1,1,2
105,45,7,2,4,0,1
106,64,23,2,2,0,2
107,67,23,4,4,1,1
108,35,16,2,2,0,2
109,72,16,4,4,0,2
110,67,16,2,4,0,2
111,43,31,5,1,1,2
112,80,23,4,4,1,2
113,32,14,2,4,0,2
114,19,14,4,4,0,2
115,48,16,4,4,0,1
116,45,7,5,1,0,2
117,31,16,2,4,0,2
118,53,2,2,4,1,2
119,69,32,4,2,0,2
120,47,16,2,4,0,2
