author_id,author_name,sex
18770449,michel business,2
18770450,rifujin na magonote,2
18770451,scott cawthon,2
18770452,alan damasio,2
18770453,barjavel,2
18770454,bernard werber,2
18770455,maxime chattam,2
18770456,victor dixen,2
18770457,morgane moncomble,2
18770458,lydie salvayre,2
18770459,laurent gaude,2
18770460,ienne klein,2
18770461,cindy van wilder,2
18770462,guy roger duvert,2
18770463,salome saque,2
18770464,guillaume musso,2
18770465,emma green,2
18770466,afnor,2
18770467,dostoievski,2
18770468,george morikawa,2
18770469,laurent gounelle,2
18770470,christian clot,2
18770471,mike horn,2
18770472,maud ankaoua,2
18770473,philippe besson,2
18770474,edouard louis,2
18770475,philippe claudel,2
18770476,reagan fordemwalt,2
18770477,minier,2
18770478,marc levy,2
18770479,luca di fulvio,2
18770480,fred vargas,2
18770481,luke mc callin,2
18770482,romain slocombe,2
18770483,melissa da costa,2
18770484,patricia wentworth,2
18770485,herve le tellier,2
18770486,nigel barley,2
18770487,bill francois,2
18770488,joseph kessel,2
18770489,virginie grimaldi,2
18770490,gilles legardinier,2
18770491,agnes martin lugand,2
18770492,lorraine fouch,2
18770493,valerie perrin,2
18770494,agnes ledig,2
18770495,aurelie valognes,2
18770496,olivier norek,2
18770497,giacom,2
18770499,ravenne,2
18770500,pennac,2
18770501,marie lester,2
18770502,james s a corey,2
18770503,john crossford,2
18770504,sophie tal men,2
18770505,emily blaine,2
18770506,raphaelle giordano,2
18770507,kubica,2
18770508,kubler,2
18770509,signol,2
18770510,thilliez grange,2
18770511,giebel,2
18770512,norek olivier,2
18770513,olivier marshall,2
18770514,e fromm,2
18770515,v woolf,2
18770516,h haddad,2
18770517,olga tokarczuk,2
18770518,la boetie,2
18770519,pelluchon,2
18770520,lordon,2
18770521,graeber,2
18770522,ranciere,2
18770523,francoise verges,2
18770524,huon,2
18770525,tal men,2
18770526,c bobin,2
18770527,franck thilliez,2
18770528,itia colombani,2
18770529,marie vareille,2
18770530,maud ventura,2
18770531,marie aude merigu,2
18770532,de bussy,2
18770533,favan,2
18770534,norek saussey,2
18770535,karine giebel,2
18770536,yasmina khadra,2
18770537,sandrine col,2
18770539,niko tackian,2
18770540,pierre pevel,2
18770541,clement bg,2
18770542,matthieu biasotto,2
18770543,georgia caldera,2
18770544,jean failler,2
18770545,sabard,2
18770546,stergann,2
18770547,bonfils,2
18770548,grimaldi fouch,2
18770549,gerard mans,2
18770550,jacinthe can,2
18770551,bussi,2
18770552,calmel,2
18770553,pierre lemaitre,2
18770556,giacometti,2
18770557,tesson,2
18770558,bernard minier,2
18770559,grimaldi bourdin,2
18770560,carene ponte,2
18770561,clarisse sabard,2
18770562,st exupery,2
18770563,michel peyramaure,2
18770564,jean teule,2
18770565,robert merle,2
18770566,jean d'aillon,2
18770567,arnaud delalande,2
18770568,jean d'ormesson,2
18770569,joel dicker,2
18770570,christian jacq,2
18770571,mireille calmel,2
18770572,jc grange,2
18770573,ken fol,2
18770574,norek o,2
18770575,luda,2
18770578,cioran,2
18770579,siilene edgar,2
18770580,pancol,2
18770581,ernaux,2
18770582,yann queffelec,2
18770583,fo giesbert,2
18770584,a duhamel,2
18770585,david foenkinos,2
18770586,be ellis,2
18770587,anna gavalda,2
18770588,yann manoir,2
18770589,nicolas beugle,2
18770590,tonino benacquista,2
18770592,nathalie brunal,2
18770593,severine violon,2
18770594,jean christophe grange,2
18770595,douglas kennedy,2
18770596,natacha calestreme,2
18770597,alexandre jollien,2
18770598,joyce maynard,2
18770599,baptiste andrea,2
18770600,jussi adler,2
18770601,christophe agnus,2
18770602,isabelle autissier,2
18770603,ragnar jonasson,2
