id_genre,genre
871,reels
872,l'heroique fantasy
873,fantasy humoristique
874,la romance historique
875,empirisme
876,les polars
878,developpement personnel
879,norme
880,theorie de l'art
881,poesie et theatre
882,les drames juridiques
883,stoicisme
884,expedition
885,recits de voyageurs
886,temoignages
887,documents/archives historiques
888,essais
889,sciences de l'education
890,humour anglais
891,bien ecrit
892,feel good
893,les romans noirs
894,reel
895,bd
896,romans d'auteur
898,paranormal et thriller
899,magazines
900,recit medieval
901,histoire vraies temoignage
902,roman terroirs
903,poesie
906,espionnage
909,litterature en general
