author_id,author_name,author_gender,birthplace,author_review_count,author_rating_count,author_average_rating
74489,"Victoria Thompson
",0,0.0,6268,74399,"4,01"
706255,"Stieg Larsson
",1,1.0,142704,3726435,"4,15"
5618190,"Mimi Jean Pamfiloff
",0,0.0,7975,76496,4
37871,"José Donoso
",1,3.0,489,5522,"3,88"
36122,"Patricia C. Wrede
",0,0.0,13453,291013,"4,1"
58947,"Steve Niles
",1,0.0,3240,47938,"3,77"
4833990,"Jillian Dodd
",0,,9451,110522,"4,16"
7956,"Mary Roach
",0,0.0,29747,321197,"3,94"
155651,"Nancy Baker
",0,8.0,104,1019,"3,78"
274533,"Simone Elkeles
",0,0.0,25166,481114,"4,08"
38550,"Brandon Sanderson
",1,0.0,170695,2613993,"4,39"
4773763,"K.L. Armstrong
",1,8.0,1256,11972,"3,97"
27847,"Lisa Kleypas
",0,0.0,50323,800760,"4,03"
153394,"Suzanne Collins
",0,0.0,370569,10212155,"4,26"
3487,"Aldous Huxley
",1,14.0,31915,1473109,"3,99"
5619151,"Sandrine Gasq-Dion
",1,0.0,4713,59146,"4,17"
4476044,"Jamie Fessenden
",1,0.0,1761,8147,"3,81"
7851984,"Zarah Detand
",0,,264,1926,"4,1"
5771850,"Kendall McKenna
",0,0.0,1474,9655,"3,98"
4968409,"Rhys Ford
",0,0.0,7768,47018,"4,15"
1427650,"Megan Derr
",0,0.0,7924,86647,"3,93"
1217905,"Sam B. Morgan
",1,,364,2375,"3,82"
4428962,"Adrienne Wilder
",1,0.0,2966,17403,"4,12"
3462951,"Kate Sherwood
",1,8.0,3488,21944,"3,89"
5029054,"Piper Vaughn
",1,0.0,4849,29952,"3,79"
7832543,"Nick Pageant
",1,0.0,837,3055,"3,72"
2746690,"K.A. Mitchell
",0,0.0,4011,37469,"3,78"
7737308,"Sarina Bowen
",1,0.0,24117,180010,"4,11"
1912055,"Cat Grant
",1,0.0,2134,11854,"3,69"
3185029,"L.A. Witt
",0,0.0,13674,80131,"3,81"
6608731,"Amy Rae Durreson
",0,14.0,1223,5530,"4,03"
6576876,"K.C. Wells
",0,,5550,34785,"3,93"
7132113,"Indra Vaughn
",0,32.0,1208,4819,"4,04"
5822433,"Rob Colton
",1,0.0,1153,10954,"3,93"
7123498,"K.J. Charles
",1,14.0,11243,63964,"4,15"
6425833,"Leta Blake
",0,,4398,21818,"4,06"
7255282,"Perie Wolford
",1,,355,2458,"3,93"
3173295,"Heidi Cullinan
",0,0.0,9801,58811,"3,98"
6886704,"Veronica Sloane
",1,0.0,225,967,"3,96"
151973,"Amy Lane
",0,,15742,110984,"4,03"
359194,"Josh Lanyon
",1,0.0,17953,151314,"4,04"
5821204,"Ais
",1,0.0,2461,18520,"4,35"
4541791,"Tara Lain
",0,0.0,4566,27322,"3,83"
6519692,"Jordan L. Hawk
",1,0.0,8808,55236,"4,21"
7094294,"Nicola Haken
",1,14.0,2674,15603,"4,14"
6862646,"Alexa Land
",1,0.0,2168,20530,"4,22"
5621569,"Charlie Cochet
",0,46.0,9735,60011,"4,18"
3152411,"Mary Calmes
",0,0.0,16417,153564,"4,03"
4109302,"Diane  Adams
",1,0.0,1174,8556,"3,94"
5828499,"Jaime Reese
",0,,1761,11075,"4,23"
1366040,"Keira Andrews
",0,8.0,7088,32941,"3,99"
7302303,"Jay Northcote
",1,14.0,7032,35099,"3,8"
7125719,"Lane Hayes
",0,0.0,3910,22722,"3,99"
8073851,"Renae Kaye
",0,53.0,3078,18217,"4,01"
5893561,"Garrett Leigh
",0,14.0,5180,24844,"4,03"
8253345,"John  Wiltshire
",1,14.0,1437,7661,"4,27"
5819370,"N.R. Walker
",0,,16052,97218,"4,19"
8119001,"S.E. Harmon
",0,,1205,6400,"4,05"
7354860,"A.E. Via
",0,0.0,4004,29942,"4,18"
3456705,"Jay Bell
",1,0.0,3155,25336,"4,18"
268722,"Jordan Castillo Price
",0,0.0,8887,66745,"4,03"
4318269,"Nicole Edwards
",0,0.0,13307,148458,"4,28"
5209619,"A.J.  Rose
",1,,1451,8480,"4,18"
4615197,"Mercy Celeste
",1,0.0,3440,30477,"3,86"
2980235,"J.L. Merrow
",0,,6249,37517,"3,75"
7020231,"Eli Easton
",0,0.0,9688,51464,"3,98"
5155341,"Anyta Sunday
",1,66.0,6539,33370,"3,97"
6445292,"Amelia C. Gormley
",0,0.0,1538,6496,"3,75"
5050492,"Lisa Henry
",1,53.0,6293,32157,"3,9"
6590573,"Kade Boehme
",1,,3422,19877,"3,87"
3080608,"Joanna Chambers
",0,,3063,15598,4
985261,"Nick Wilgus
",1,0.0,635,2872,"4,08"
4595087,"S.E. Jakes
",0,0.0,4111,33667,"4,02"
6421828,"Kindle Alexander
",1,0.0,6395,40852,"4,14"
5073330,"T.J. Klune
",1,,12476,66081,"4,4"
6451816,"Ella Frank
",1,53.0,17886,124474,"4,22"
1122775,"Abigail Roux
",0,0.0,15558,135482,"4,26"
445303,"Maria V. Snyder
",0,0.0,35867,459950,"4,04"
20560,"Sheri S. Tepper
",0,78.0,3443,60918,"3,95"
10896,"Eoin Colfer
",1,79.0,35836,1257985,"3,93"
205,"Robert A. Heinlein
",1,0.0,31085,999390,"3,93"
1226977,"Paolo Bacigalupi
",1,0.0,18836,159937,"3,78"
41749,"William F. Nolan
",1,0.0,2102,30045,"3,81"
2778055,"Kurt Vonnegut
",1,0.0,69611,2203230,"4,06"
12534,"Larry Niven
",1,0.0,14236,424960,"3,91"
53501,"George R. Stewart
",1,0.0,1993,23621,"3,97"
3400721,"Pierre Boulle
",1,86.0,1620,36441,"3,94"
3389,"Stephen King
",1,0.0,442455,12129201,"4,03"
