id_genre,genre
0,Jeune adulte
1,Mystery
2,Romance
3,Christian Fiction
4,Christian
5,Fiction
6,Thriller
7,Horreur
8,Économie-Finance
9,Essais et documents
10,Affaires
11,Finances-Finances personnelles
12,Aide personnelle
13,Monnaie-Argent
14,Économie
15,Self Help-Personal Development
16,Livre audio
17,Psychologie
18,Histoire-Fiction historique
19,Historical-Regency
20,Romance-Historical Romance
21,Historique
22,American-Southern
23,Gothique-Gothique du sud
24,Séquentiel Art-Comics
25,Romans graphiques séquentiels
26,Sequential Art-Bande Découpée
27,Humour
28,Cultural-France
29,Poetry
30,Enfants
31,Classics
32,Fantasy
33,Science-fiction-steampunk
34,Science-fiction
35,Aventure
36,Science-fiction
37,Adulte
38,Fantasy-Epic Fantasy
39,Fantasy-Urban Fantasy
40,Suspense
41,Art
42,Autobiography-Memoir
43,Inspirational
44,Rédaction linguistique
45,Science
46,Historique
47,Sexualité
48,Anthropologie
49,Mystery-Crime
50,Fantasy-Dragons
51,Fantasy-High Fantasy
52,Cultural-Russia
53,Histoire militaire
54,Guerre
55,Guerre-Fiction militaire
56,Cultural-Ireland
57,Fiction-Chick Lit pour femme
58,Contemporain
59,Adult Fiction
60,Littérature européenne-littérature irlandaise
61,Womens Fiction
62,Adult Fiction-Erotica
63,Guerre-Seconde Guerre mondiale
64,Deuxième guerre mondiale-Holocauste
65,Shapeshifters-Werewolves
66,Fantasy-Paranormal
67,Romance-Paranormal Romance
68,Réalisme magique
69,Thriller-Mystery Thriller
70,Mystère – Mystère historique
71,Littérature européenne-littérature française
72,Littérature
73,Crime-Crime réel
74,Biographie
75,Paranormal-Shapeshifters
76,Fantasy-Magic
77,Jeune adulte-Jeune adulte Fantasy
78,Romance-Christian Romance
79,Romans
80,Cultural-Africa
81,Afrique de l’Est-Malawi
82,Biographie Mémoires
83,Biographie-autobiographie
84,Academic-School
85,Histoires courtes
86,Littérature européenne-littérature polonaise
87,Science-fiction – Voyage dans le temps
88,Pièces
89,Drame
90,Fantasy-Mythology
91,Littérature européenne-littérature allemande
92,Childrens-Picture Books
93,Histoire nord-américaine
94,Histoire militaire-guerre civile
95,Politique
96,Politics-Presidents
97,Enfants – Niveau moyen
98,School Stories-Boarding School
99,Jeune adulte-adolescent
100,Young Adult-High School
101,Fiction réaliste
102,Animaux
103,Paranormal-Ghosts
104,Fantasy-Supernatural
105,Paranormal-Vampires
106,Cultural-Poland
107,Science Fiction-Dystopia
108,Apocalyptic-Post Apocalyptic
109,Science-fiction-apocalyptique
110,History-Russian History
111,Histoire-Histoire européenne
112,Littérature-XVIIIe siècle
113,Nouveau membre adulte
114,Romance-Contemporary Romance
115,Musique
116,Musique-Musiciens
117,Religion-bouddhisme
118,Philosophy
119,Spiritualité
120,Religion
121,Cultural-Italy
