id_publi,publisher,id_book
1,Simon  Schuster Books for Young Readers,630104
2,Thomas Nelson,9487
3,Zondervan,6050894
4,Tor Books,39030
5,Gallery Books,998
6,Arrow,311164
7,Harlequin,32105
8,Algonquin Books,377993
9,"Orion Books Ltd., London",71292
10,E.P. Dutton,821003
11,Roc,24876258
12,Pocket Star,80631
13,Villard Books,81048
14,HarperCollins,7640261
15,Ballantine Books,22028
16,Tor Books,176892
17,Harper Perennial,138811
18,Orion,15990489
19,Kensington Trade,15743075
20,CreateSpace Independent Publishing Platform,16116760
21,self,13549445
22,Signet Books,550844
23,Ellora's Cave Publishing Inc.,18523711
24,Harper Teen,17234659
25,Blvnp Publishing Incorporated,25906415
26,Berkley,165782
27,Doubleday,23346719
28,HarperCollins,274400
29,Gallimard,1977834
30,Ballantine Books,228345
31,Berkley Books,7831145
32,Scholastic Paperbacks,58893
33,Scholastic Inc,153783
34,Center Street,870461
35,Shadow Mountain,286136
36,William Morrow,6419887
37,Penguin Classics,228244
38,Dutton Adult,3004139
39,HarperTrophy,93729
40,Scholastic Paperbacks,71869
41,Reclam,900682
42,Twelve,7519640
43,Berkley,124923
44,"Harcourt, Inc.",2214574
45,Droemer/Knaur,4842437
46,Angry Robot,7163862
47,Feiwel & Friends,8662135
48,Clarion Books,97860
49,Henry Holt & Company,10587120
50,Sourcebooks Landmark,79484
51,Vintage,26936
52,Harry N. Abrams,91760
53,Simon & Schuster Children's Publishing,621687
54,Ballantine Books,199635
55,Ivy Books,39097
56,Blvnp Publishing Incorporated,25975141
57,Simon  Schuster Books for Young Readers,1783289
58,HarperCollins,5498077
59,Macmillan Children's Books,7704979
60,Razorbill,24764
61,Jove,239065
62,Marion Boyars Publishers Ltd,475965
63,Poppy,7129468
64,Orchard Books,1891296
65,Orion,294042
66,Harpercollins,6556261
67,Walker Childrens,8685644
68,Ballantine Books,15549
69,"Random House, Inc. (NY)",10414941
70,Aladdin,10065348
71,Aladdin,11242368
72,St. Martin's Griffin,19286623
73,Harmony,100629
74,Atlantic Monthly Press,28978
75,Macmillan Children's Books,7943678
76,Penguin Books,167302
77,Arrow,311308
78,Harper Collins,16356
79,Scholastic Paperbacks,82553
80,Mira,16130758
81,HarperCollins,13425352
82,Ellora's Cave,922119
83,Delta,5350
84,Avon,294285
85,Ace,22852698
86,Simon & Schuster Children's Publishing,457762
87,Grand Central Publishing,618924
88,Vision,13151
89,Penguin Books,402
90,HarperTorch,104216
91,Bantam,244475
92,HarperCollins,7893
93,Arrow,878307
94,Harper Perennial,12447
95,HarperTrophy,85993
