id,saga_name
630104,Private 
9487,Timeless Love 
6050894,Above the Line 
39030,Pendergast 
998,
311164,
32105,
377993,
71292,AstÃ©rix 
821003,Winnie-the-Pooh 
24876258,The Cinder Spires 
80631,
81048,
7640261,
22028,
176892,Halfblood Chronicles 
138811,
15990489,
15743075,
16116760,Silence 
13549445,"All My Love, Detrick "
550844,
18523711,New Species 
17234659,Firebird 
25906415,
165782,
23346719,
274400,Mary Russell and Sherlock Holmes 
1977834,
228345,
7831145,Psy-Changeling 
58893,Circle of Magic 
153783,The Circle Reforged 
870461,Cody Gunner 
286136,Leven Thumps 
6419887,
228244,
3004139,
93729,The Princess Diaries 
71869,Tomorrow 
900682,
7519640,
124923,
2214574,
4842437,
7163862,
8662135,ThÃ©Ã¢tre Illuminata 
97860,
10587120,
79484,Through a Glass Darkly 
26936,
1438096,Wind on Fire 
91760,
621687,The Gideon Trilogy 
199635,
39097,St. Leger 
25975141,
1783289,Private 
5498077,Warriors: Field Guide 
7704979,
24764,Peeps 
239065,The Descent 
475965,
7129468,Daughters 
1891296,The Last Dragon Chronicles 
294042,Sigma Force 
6556261,The Demonata 
8685644,Haunting Violet 
15549,Genesis of Shannara 
10414941,The Romanovs 
10065348,Jack Blank Adventure 
11242368,Jack Blank Adventure 
19286623,Stage Dive 
100629,
28978,Commissario Brunetti 
7943678,
167302,
311308,Alastair-Audley Tetralogy 
16356,Harley Quin 
82553,Tomorrow 
16130758,Soulfinders 
13425352,Lorien Legacies: The Lost Files 
922119,
5350,
294285,Communion 
22852698,The Red Queen's War 
457762,
618924,Kleopatra 
13151,Alex Cross 
402,
104216,
244475,Bishop/Special Crimes Unit 
7893,Deep Valley 
878307,Duncton Chronicles 
12447,
85993,The Princess Diaries 
226425,
3942622,Argeneau 
47241,Elfhome 
339026,Children of the Lamp 
37451,Gossip Girl 
11273356,Brides of the Kindred 
13075513,Rescue Me Saga 
146106,Tintin 
140278,Miss Marple 
137098,The Little Lady Agency 
2206960,Private 
112075,The House of NiccolÃ² 
50725,
6503152,
264587,
1933181,Elizabeth I 
13806,The Prince of Nothing 
12700306,The Iron Druid Chronicles 
17558817,Wait for You 
6572,
13570639,Faerie Tale Collection 
45234,
6420,
13012638,Jack Blank Adventure 
6519314,
10222362,MILA 2.0 
16707,
125432,
313605,
25242224,L'amica geniale 
8296,Little House 
7958,Women of Genesis 
93794,Gabriel Allon 
943903,
545875,New Orleans 
6064646,
149621,
11750412,
102661,
15815333,
11237412,Lorien Legacies: The Lost Files 
127028,The Growth Trilogy 
177523,
13605496,Finding Anna 
17735,Kefahuchi Tract 
